sex,id,cage,treatment,zt,day,eatdrinkfor,move,rest,flag,graph_zt
F,rectangleb2,b2,CORT,5,1,0,9,291,0,11
M,triangleb2,b2,CORT,5,1,120,126,54,0,11
M,squareb2,b2,CORT,5,1,229,3,68,0,11
F,plusb2,b2,CORT,5,1,160,35,105,0,11
F,rectangleb2,b2,CORT,5.5,1,47,65,188,0,11.5
M,triangleb2,b2,CORT,5.5,1,47,33,220,0,11.5
M,squareb2,b2,CORT,5.5,1,5,35,260,0,11.5
F,plusb2,b2,CORT,5.5,1,19,12,269,0,11.5
F,rectangleb2,b2,CORT,6,1,193,77,30,0,12
M,triangleb2,b2,CORT,6,1,143,16,141,0,12
M,squareb2,b2,CORT,6,1,107,130,63,0,12
F,plusb2,b2,CORT,6,1,206,13,81,0,12
F,rectangleb2,b2,CORT,6.5,1,0,26,274,0,12.5
M,triangleb2,b2,CORT,6.5,1,0,0,300,0,12.5
M,squareb2,b2,CORT,6.5,1,0,120,180,0,12.5
F,plusb2,b2,CORT,6.5,1,2,50,248,0,12.5
F,rectangleb2,b2,CORT,7,1,146,94,60,0,13
M,triangleb2,b2,CORT,7,1,123,53,124,0,13
M,squareb2,b2,CORT,7,1,108,23,169,0,13
F,plusb2,b2,CORT,7,1,0,4,296,0,13
F,rectangleb2,b2,CORT,7.5,1,18,40,242,0,13.5
M,triangleb2,b2,CORT,7.5,1,0,30,270,0,13.5
M,squareb2,b2,CORT,7.5,1,18,37,245,0,13.5
F,plusb2,b2,CORT,7.5,1,0,10,290,0,13.5
F,rectangleb2,b2,CORT,8,1,75,54,171,0,14
M,triangleb2,b2,CORT,8,1,128,66,106,0,14
M,squareb2,b2,CORT,8,1,88,124,88,0,14
F,plusb2,b2,CORT,8,1,112,28,160,0,14
F,rectangleb2,b2,CORT,8.5,1,185,22,93,0,14.5
M,triangleb2,b2,CORT,8.5,1,69,142,89,0,14.5
M,squareb2,b2,CORT,8.5,1,187,22,91,0,14.5
F,plusb2,b2,CORT,8.5,1,211,19,70,0,14.5
F,rectangleb2,b2,CORT,10,1,137,29,134,0,16
M,triangleb2,b2,CORT,10,1,33,128,139,0,16
M,squareb2,b2,CORT,10,1,26,132,142,0,16
F,plusb2,b2,CORT,10,1,47,160,93,0,16
F,rectangleb2,b2,CORT,10.5,1,21,93,186,0,16.5
M,triangleb2,b2,CORT,10.5,1,93,56,151,0,16.5
M,squareb2,b2,CORT,10.5,1,147,9,144,0,16.5
F,plusb2,b2,CORT,10.5,1,151,19,130,0,16.5
F,rectangleb2,b2,CORT,11,1,0,51,249,0,17
M,triangleb2,b2,CORT,11,1,0,74,226,0,17
M,squareb2,b2,CORT,11,1,0,46,254,0,17
F,plusb2,b2,CORT,11,1,0,41,259,0,17
