condition,age,time,act,bmalnorm,pernorm,bmal,per,stage,bact2,id,other,batch,group
control,e14,2pm,16.72,7.535,7.2,0.005391865,0.006801176,prenatal,17.105,,,new,controle142pm
control,e14,2pm,15.925,7.685,7.73,0.004859421,0.004710187,prenatal,15.715,,,new,controle142pm
control,e14,2pm,16.915,7.61,7.98,0.005118724,0.003960779,prenatal,16.38,,,new,controle142pm
control,e14,2pm,15.83,7.74,7.7,0.004677651,0.004809158,prenatal,15.39,,,new,controle142pm
cort,e14,2pm,26.52,7.775,6.055,0.004565536,0.015040538,prenatal,26.465,,,new,corte142pm
cort,e14,2pm,16.265,8.29,7.8,0.00319493,0.004487103,prenatal,16.365,,,new,corte142pm
cort,e14,2pm,16.18,8,8.275,0.00390625,0.003228322,prenatal,15.965,,,new,corte142pm
cort,e14,2pm,15.945,7.67,7.395,0.004910208,0.005941323,prenatal,15.8,,,new,corte142pm
control,e14,5pm,15.57,8.13,7.23,0.003569654,0.00666121,prenatal,15.84,,,new,controle145pm
control,e14,5pm,16.28,8.27,7.325,0.003239529,0.006236706,prenatal,16.415,,,new,controle145pm
control,e14,5pm,16.58,7.895,7.155,0.00420115,0.007016659,prenatal,16.645,,,new,controle145pm
control,e14,5pm,17.465,8,7.165,0.00390625,0.006968192,prenatal,17.825,,,new,controle145pm
cort,e14,5pm,16.505,7.815,7.59,0.004440691,0.005190179,prenatal,16.72,,,new,corte145pm
cort,e14,5pm,16.265,7.95,7.535,0.004044004,0.005391865,prenatal,16.455,,,new,corte145pm
cort,e14,5pm,16.825,7.3,5.73,0.006345722,0.018840747,prenatal,17.06,,,new,corte145pm
cort,e14,5pm,15.58,8.17,7.625,0.003472042,0.00506578,prenatal,15.44,,,new,corte145pm
control,e17,9am,15.995,6.65,6.105,0.009957505,0.014528202,prenatal,16.05,,,new,controle179am
control,e17,9am,16.05,7.96,6.45,0.00401607,0.011438169,prenatal,16.265,,,new,controle179am
control,e17,9am,17.45,7.595,6.655,0.005172222,0.009923055,prenatal,17.965,,,new,controle179am
control,e17,9am,17.005,7.61,6.475,0.005118724,0.011241669,prenatal,16.81,,,new,controle179am
cort,e17,9am,20.235,7.9,5.62,0.004186615,0.020333466,prenatal,20.315,,,new,corte179am
cort,e17,9am,17.305,7.68,5.305,0.004876291,0.025295069,prenatal,17.315,,,new,corte179am
cort,e17,9am,17.6,7.495,5.64,0.005543451,0.02005353,prenatal,18.24,,,new,corte179am
cort,e17,9am,16.695,7.99,,0.00393342,,prenatal,,,,new,corte179am
control,e17,2pm,17.655,6.88,5.94,0.008490116,0.016288528,prenatal,,,,new,controle172pm
control,e17,2pm,17.185,7.055,6.49,0.007520269,0.011125392,prenatal,,,,new,controle172pm
control,e17,2pm,16.905,7.785,6.88,0.004534,0.008490116,prenatal,,,,new,controle172pm
control,e17,2pm,17.305,7.135,7.44,0.007114608,0.005758864,prenatal,,,,new,controle172pm
control,e17,2pm,16.585,7.655,7.72,0.004961527,0.004742949,prenatal,,,,new,controle172pm
control,e17,2pm,17.06,7.765,7.35,0.004597292,0.006129563,prenatal,,,,new,controle172pm
control,e17,2pm,16.465,7.655,6.63,0.004961527,0.010096506,prenatal,,,,new,controle172pm
control,e17,2pm,18.005,6.665,6.25,0.009854511,0.013139006,prenatal,,,,new,controle172pm
cort,e17,2pm,17.79,6.88,6.405,0.008490116,0.011800567,prenatal,,,,new,corte172pm
cort,e17,2pm,17.055,8.725,7.15,0.00236327,0.007041019,prenatal,,,,new,corte172pm
